# https://en.wikipedia.org/wiki/Latitude_and_longitude_of_cities,_A-H
Russia, Saint Petersburg, 59, 56, N, 30, 20, E
Russia, Vladivostok, 43, 09, N, 131, 53, E
Rwanda, Kigali, 1, 56, S, 30, 04, E
Saint-Pierre and Miquelon, Saint-Pierre, 46, 46, N, 56, 11, W
Saint Helena, Jamestown, 15, 56, S, 5, 44, W
Saint Kitts and Nevis, Basseterre, 17, 18, N, 62, 43, W
Saint Lucia, Castries, 14, 01, N, 60, 59, W
Saint Vincent and the Grenadines, Kingstown, 13, 12, N, 61, 14, W
Samoa (Western Samoa), Apia, 13, 48, S, 171, 45, W
San Marino, San Marino, 43, 56, N, 12, 26, E
São Tomé and Príncipe, Sao Tome, 0, 19, N, 6, 43, E
Saudi Arabia, Riyadh, 24, 39, N, 46, 46, E
Scotland, Glasgow, 55, 53, N, 4, 15, W
Senegal, Dakar, 14, 40, N, 17, 26, W
Serbia, Belgrad, 44, 50, N, 20, 30, E
Seychelles, Victoria, 4, 38, S, 55, 28, E
Sierra Leone, Freetown, 8, 30, N, 13, 15, W
Singapore, Singapore, 1, 18, N, 103, 50, E
Slovakia, Bratislava, 48, 10, N, 17, 10, E
Slovenia, Ljubljana, 46, 04, N, 14, 30, E
Solomon Islands, Honiara, 9, 28, S, 159, 57, E
Somalia, Mogadishu, 2, 02, N, 45, 21, E
South Africa, Cape Town, 35, 55, S, 18, 22, E
South Africa, Johannesburg, 26, 08, S, 27, 54, E
South Africa, Port Elizabeth, 33, 58, S, 25, 36, E
South Africa, Pretoria, 25, 45, S, 28, 12, E
South Korea, Seoul, 37, 32, N, 127, 00, E
Spain, Barcelona, 41, 23, N, 2, 11, E
Spain, Madrid, 40, 24, N, 3, 41, W
Sri Lanka, Colombo, 6, 55, N, 79, 52, E
Sudan, Khartoum, 15, 36, N, 32, 32, E
Suriname, Paramaribo, 5, 50, N, 55, 10, W
Swaziland, Mbabane, 26, 20, S, 31, 08, E
Sweden, Stockholm, 59, 20, N, 18, 03, E
Switzerland, Berne, 46, 57, N, 7, 27, E
Switzerland, Zürich, 47, 22, N, 8, 33, E
Syria, Damascus, 33, 30, N, 36, 18, E
Tajikistan, Dushanbe, 38, 38, N, 68, 51, E
Tanzania, Dar es Salaam, 6, 51, S, 39, 18, E
Tanzania, Lindi, 10, 00, S, 39, 41, E
Tanzania, Zanzibar, 6, 10, S, 39, 20, E
Thailand, Bangkok, 13, 44, N, 100, 30, E
Togo, Lomé, 6, 08, N, 1, 13, E
Tonga, Nukuʻalofa, 21, 09, S, 175, 14, W
Trinidad and Tobago, Port of Spain, 10, 38, N, 61, 31, W
Tunisia, Tunis, 36, 48, N, 10, 11, E
Tunisia, Sfax, 34, 44, N, 10, 46, E
Turkey, Ankara, 39, 55, N, 32, 50, E
Turkey, Istanbul, 41, 01, N, 28, 58, E
Turkey, Trabzon, 41, 00, N, 39, 43, E
Turkmenistan, Ashkhabad, 37, 58, N, 58, 24, E
Turkmenistan, Bereket, 39, 14, N, 55, 31, E
Tuvalu, Funafuti, 8, 31, S, 179, 13, E
U.S. Virgin Islands, Charlotte Amalie, 18, 22, N, 64, 56, W
Uganda, Kampala, 0, 19, N, 35, 25, E
Ukraine, Kiev, 50, 25, N, 30, 43, E
United Arab Emirates, Abu Dhabi, 24, 28, N, 54, 22, E
United Arab Emirates, Dubai, 25, 16, N, 55, 20, E
United States, Chicago, 41, 53, N, 87, 39, W
United States, Honolulu, 21, 18, N, 157, 49, W
United States, Houston, 29, 45, N, 95, 22, W
United States, Los Angeles, 34, 03, N, 118, 15, W
United States, New York City, 40, 43, N, 74, 00, W
Uruguay, Montevideo, 34, 53, S, 56, 11, W
Uzbekistan, Tashkent, 41, 16, N, 69, 13, E
Vanuatu, Port Vila, 17, 45, S, 168, 18, E
Venezuela, Caracas, 10, 30, N, 66, 56, W
Venezuela, Mérida, 8, 24, N, 71, 08, W
Vietnam, Hanoi, 21, 01, N, 105, 52, E
Vietnam, Ho Chi Minh, 10, 46, N, 106, 43, E
Wallis and Futuna, Mata-Utu, 13, 22, S, 176, 12, W
Yemen, Sanaa, 15, 24, N, 44, 14, E
Zambia, Lusaka, 15, 26, S, 28, 20, E
Zambia, Mbala, 1, 04, N, 34, 12, E
Zimbabwe, Harare, 17, 50, S, 31, 30, E
